Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0402,2,100nF,C1525
"C2, C8",0402,2,10uF,C15525
"D1, D2",D_SOD-123,2,1N4148W,C81598
D6-R4,0402,1,4.7k,C25900
"EC_CONN_A1, EC_CONN_B5, REED_SWITCH_CONN1, REED_SWITCH_CONN2",HDR-SMD_3P-P2.54-V-M-LS4.8_R1,4,Conn_01x03_Female,C42379196
LED-R3,0402,1,470Ω,C25117
LED_D3,0603,1,WHITE LED,C2290
NOT-NOT-GATE1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,SN74LVC2G14DBVR,C12401
"PWR-R1, SCL-R5, SDA-R6",0402,3,10k,C25744
"PWR-R2, PWR-R3",0402,2,20k,C25765
U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,DS3231MZ+,C107410
