Designator,Mid X,Mid Y,Rotation,Layer
C1,102.835,-102.44,270.0,bottom
C2,104.805,-102.44,90.0,bottom
C3,164.99,-107.1,90.0,bottom
C4,151.18,-106.88,0.0,bottom
D1,123.11,-96.85,270.0,bottom
D2,162.53,-81.57,180.0,bottom
D3,121.46,-90.7,90.0,bottom
D6-R4,128.28,-90.37,90.0,bottom
EC_Conn_A1,116.505,-94.83,90.0,bottom
EC_Conn_B5,134.335,-94.84,270.0,bottom
IC1,162.465,-107.11,0.0,bottom
LED-R3,165.19,-81.56,0.0,bottom
PWR-R1,123.1,-101.52,90.0,bottom
PWR-R2,125.2,-92.0,180.0,bottom
PWR-R3,121.13,-101.54,180.0,bottom
PWR-R5,120.66,-94.18,315.0,bottom
R1,158.09,-107.05,0.0,bottom
R2,156.08,-107.06,0.0,bottom
Reed_Switch_Conn1,113.05,-81.335,0.0,bottom
Reed_Switch_Conn2,133.325,-81.28,0.0,bottom
SCL-R5,133.51,-90.05,0.0,bottom
SDA-R6,135.58,-90.02,180.0,bottom
U4,108.57,-94.16,90.0,bottom
backup_pwr_button1,105.56,-83.74,270.0,bottom
mouse-bite-2mm-slot_4,164.61,-104.97,0.0,top
mouse-bite-2mm-slot_3,161.59,-83.79,180.0,top
mouse-bite-2mm-slot_2,180.59,-83.79,180.0,top
mouse-bite-2mm-slot,182.61,-104.97,0.0,top
nMOS1,128.82,-94.84,90.0,bottom
nMOS2,128.878,-99.2715,90.0,bottom
